retweeter,retweeted,retweet_time,retweeter_age,retweeted_age
jmpenn001,morningmika,10063,76088,51301
TrumpFan0505,Dehneh1,43948,58869,1611
tiffanypy35,almostjingo,663,68454,8945
kj98872740,morningmika,10063,39157,51301
AnderdzzyDebbie,morningmika,10063,47497,51301
krystysmith,FutureFred1,47699,72816,2483
Modi_Yogi56,PandeyJee77,845,604,84403
mbearphoenix,TalbertSwan,4041,15302,67399
Trump1for2020,dbongino,60245,49036,18148
Geiger4Steve,DonaldJTrumpJr,13909,73687,51975
jstarkCLE,morningmika,9761,78763,51606
running2fit,_donaldson,48345,76400,83631
G1rly_Tattooed,superyayadize,21070,41052,38389
About_a_Button,morningmika,10066,39559,51301
Piscesmom,morningmika,10066,85837,51301
McMississippi,EliseStefanik,59126,81973,29674
JohnDub62,welletacka,11695,46067,68834
PaineLana,Atlantiso1,188,2780,79035
Isabell17423698,cvpayne,50851,61093,32849
conclusionsid,morningmika,10068,1652,51301
mbearphoenix,RoydYure,3720,15307,24959
JoshuaStellick,SebGorka,120,39806,210
JerseyDeplorab5,SebGorka,120,54826,210
running2fit,marshsmadness,45250,76403,20235
J_BDahn,morningmika,10070,10371,51301
Lovemypresiden4,KC593,10808,9542,57888
EyeGloArts,almostjingo,671,72633,8945
77Wicked,EricTrump,10882,77088,53571
kailuatwin,DonaldJTrumpJr,13915,86204,51975
EmyBrintonSims,DonaldJTrumpJr,13915,37717,51975
MsTessa,MCaldamone,689,79677,76666
babycakes_suz,Sairaph,47603,54154,8502
Dfdc123,davidmweissman,11547,67863,86063
BarfNader,SebGorka,124,51441,210
Shamrocker66,morningmika,10073,12704,51301
Shmoe45,DonaldJTrumpJr,13918,82776,51975
deweybbadd,morningmika,10074,35095,51301
bullgator2012,TrumpGirlStrong,11389,78728,41140
chirley07987594,SebGorka,126,3517,210
Gibb88fan,SebGorka,126,72243,210
shltlvr3,jsherman39,56841,63049,74898
barel_galit,DonaldJTrumpJr,13920,9446,51975
justjohnPatriot,SebGorka,127,36663,210
barneyarubble,SallyLa57199765,14591,52725,32568
WiIl2win,Liz_Wheeler,48925,84267,22683
iIWillGoLord,SebGorka,128,51101,210
SheriHerman10,SebGorka,128,69954,210
Irysdawn,morningmika,9772,3051,51606
Royal_Rog,DonaldJTrumpJr,13922,7556,51975
amikeliunas,and_so_it_goes,43912,71865,18484
ARobhere13,mikejwhelan,2837,62404,4466
running2fit,GuyYelling,48785,76413,18763
AlejoPR1981,morningmika,9774,85548,51606
nmickeyblue,EricTrump,10890,50200,53571
JavelinaBlue,CanerdianGirl,69143,79249,20000
LouieGe51467728,DonaldJTrumpJr,13925,55560,51975
ksgoldenone,morningmika,10082,24831,51301
AnneMorrowCoop1,morningmika,10082,43727,51301
NinaDeplorable,DonaldJTrumpJr,13926,72995,51975
TXConservLatino,cgotti521,54315,46531,32015
jzbuckI,SebGorka,133,1011,210
Carolyn31806792,cvpayne,50865,50984,32849
MikeWilke7,EricTrump,10894,85353,53571
hennel58,almostjingo,683,2702,8945
SandyRidge33,DonaldJTrumpJr,13927,51723,51975
snowlady09,DTCahill,1861,2762,76831
billcrounse,morningmika,10083,61988,51301
888MOONRAKER888,PamelaGeller,15476,40537,32297
CoachScottie90,BobCampbell51,151,66359,52053
lumezgo77,EricTrump,10895,58310,53571
tenajd,morningmika,10084,86252,51301
CeliaLevy19,sparkledocawake,3158,75423,2974
LunaJ82,RealSaavedra,62069,1365,68490
AngelaRaeBoon1,morningmika,9780,44180,51606
colonelswife2,PamelaGeller,15479,71687,32297
djdoobs,EricTrump,10897,78912,53571
Kirktalon,morningmika,10087,78235,51301
EdgeBoomer,catturd2,64685,4517,16104
AutumnE50,KatyTurNBC,11100,32472,26948
ARobhere13,chanceitup,3218,62413,29835
Donnie_Shacks,EliseStefanik,59148,44330,29674
debspike_debbie,SebGorka,139,40143,210
